cam_ID,rec_ID,timestamp,label,confidence,track_ID,track_status,x_min,y_min,x_max,y_max
raspberrypi,28,2024-12-22T12:37:41.323390,insect,0.8,52,TRACKED,0.2369,0.406,0.2699,0.4611
raspberrypi,28,2024-12-22T12:37:42.335387,insect,0.87,52,TRACKED,0.2693,0.3711,0.3053,0.433
raspberrypi,28,2024-12-22T12:37:43.348571,insect,0.83,52,TRACKED,0.2929,0.3017,0.3247,0.373
raspberrypi,28,2024-12-22T12:37:44.364515,insect,0.86,52,TRACKED,0.324,0.2453,0.3583,0.3122
raspberrypi,28,2024-12-22T12:37:45.375938,insect,0.79,52,TRACKED,0.3587,0.1961,0.3968,0.2585
raspberrypi,28,2024-12-22T12:37:46.388322,insect,0.79,52,TRACKED,0.3875,0.1638,0.4201,0.2271
raspberrypi,28,2024-12-22T12:37:47.400064,insect,0.8,52,TRACKED,0.3949,0.1508,0.4265,0.2193
raspberrypi,28,2024-12-22T12:37:48.412417,insect,0.77,52,TRACKED,0.3956,0.1514,0.4255,0.2185
raspberrypi,28,2024-12-22T12:37:49.444989,insect,0.59,52,TRACKED,0.4024,0.1196,0.4249,0.178
raspberrypi,28,2024-12-22T12:37:50.456374,insect,0.68,52,TRACKED,0.403,0.1173,0.4266,0.169
raspberrypi,28,2024-12-22T12:37:51.468356,insect,0.71,52,TRACKED,0.4128,0.1116,0.4362,0.1506
raspberrypi,28,2024-12-22T12:37:52.480275,insect,0.64,52,TRACKED,0.4463,0.1132,0.4728,0.1498
raspberrypi,28,2024-12-22T12:37:53.534906,insect,0.69,52,TRACKED,0.478,0.1105,0.5011,0.1434
raspberrypi,28,2024-12-22T12:38:03.653190,insect,0.5,53,NEW,0.4958,0.1111,0.5264,0.151
raspberrypi,28,2024-12-22T12:38:16.207986,insect,0.61,54,NEW,0.4973,0.1086,0.5245,0.1474
raspberrypi,28,2024-12-22T12:38:24.801901,insect,0.53,55,NEW,0.4967,0.1103,0.526,0.1514
raspberrypi,28,2024-12-22T12:38:29.662163,insect,0.54,56,NEW,0.4962,0.1104,0.5276,0.1503
raspberrypi,28,2024-12-22T12:38:30.675393,insect,0.87,56,TRACKED,0.5062,0.1303,0.5344,0.1948
raspberrypi,28,2024-12-22T12:38:31.687029,insect,0.86,56,TRACKED,0.5423,0.1827,0.5748,0.2441
raspberrypi,28,2024-12-22T12:38:32.699881,insect,0.84,56,TRACKED,0.565,0.1976,0.5977,0.25
raspberrypi,28,2024-12-22T12:38:33.712637,insect,0.82,56,TRACKED,0.5876,0.2021,0.6183,0.2531
raspberrypi,28,2024-12-22T12:38:34.725711,insect,0.84,56,TRACKED,0.6283,0.2034,0.6592,0.2573
raspberrypi,28,2024-12-22T12:38:35.738097,insect,0.85,56,TRACKED,0.6721,0.1943,0.7053,0.2494
raspberrypi,28,2024-12-22T12:38:36.753711,insect,0.82,56,TRACKED,0.7166,0.1548,0.7482,0.2208
raspberrypi,28,2024-12-22T12:38:37.766181,insect,0.69,56,TRACKED,0.7506,0.0967,0.7734,0.1505
raspberrypi,28,2024-12-22T12:38:38.779015,insect,0.69,56,TRACKED,0.7506,0.0972,0.7731,0.1497
raspberrypi,28,2024-12-22T12:38:39.790444,insect,0.69,56,TRACKED,0.7508,0.0968,0.7733,0.1501
raspberrypi,28,2024-12-22T12:38:40.802778,insect,0.7,56,TRACKED,0.7506,0.0961,0.7732,0.1496
raspberrypi,28,2024-12-22T12:38:41.815572,insect,0.69,56,TRACKED,0.7506,0.0961,0.7735,0.1502
raspberrypi,28,2024-12-22T12:38:42.827793,insect,0.65,56,TRACKED,0.7489,0.0992,0.7715,0.1522
raspberrypi,28,2024-12-22T12:38:43.840357,insect,0.69,56,TRACKED,0.7509,0.0967,0.7732,0.1498
raspberrypi,28,2024-12-22T12:38:44.853399,insect,0.57,56,TRACKED,0.7509,0.0932,0.7751,0.1452
raspberrypi,28,2024-12-22T12:38:46.817825,insect,0.64,57,NEW,0.8344,0.0912,0.8589,0.1193
